Row,KOI_ID,Label,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
1098,5376836.0,0.0,4939.0,4.541,-0.06,0.765,0.74
1099,5557821.0,0.0,5836.0,4.347,0.3,1.166,1.1
1100,10004519.0,1.0,5251.0,4.541,0.22,0.847,0.91
1103,10879038.0,1.0,5578.0,4.484,0.16,0.9359999999999999,0.9740000000000001
1104,10990917.0,1.0,5754.0,4.534,0.07,0.905,1.021
1105,11043136.0,0.0,5447.0,4.481,0.16,0.917,0.9279999999999999
1106,11046025.0,0.0,5947.0,4.482,-0.5,0.8809999999999999,0.86
1107,5771719.0,0.0,5970.0,4.521,-0.18,0.9079999999999999,0.996
1108,9729691.0,1.0,5813.0,4.561,-0.28,0.833,0.925
1109,9729691.0,0.0,6170.0,4.472,-0.16,0.992,1.063
1110,4950232.0,0.0,5900.0,4.509,0.07,0.951,1.065
1111,10904857.0,1.0,6273.0,4.129,-0.2,1.493,1.095
1112,8651389.0,0.0,4955.0,4.61,-0.1,0.721,0.774
1113,9520668.0,0.0,4955.0,4.61,-0.1,0.721,0.774
1114,7871954.0,1.0,5708.0,4.578,-0.34,0.795,0.883
1115,7871954.0,1.0,4802.0,4.6160000000000005,-0.1,0.6990000000000001,0.738
1116,12418724.0,1.0,6108.0,4.466,0.07,1.03,1.1320000000000001
1117,7456001.0,1.0,5705.0,4.556,-0.14,0.8440000000000001,0.9359999999999999
1118,10028792.0,1.0,6056.0,4.217,0.1,1.381,1.148
1119,10028792.0,1.0,5246.0,4.47,0.14,0.8909999999999999,0.8540000000000001
1120,10028792.0,0.0,5068.0,4.6080000000000005,-0.02,0.743,0.833
1121,5553652.0,0.0,6273.0,4.364,-0.06,1.139,1.092
1122,5299459.0,1.0,4976.0,4.577,-0.38,0.701,0.677
1123,11153121.0,1.0,5465.0,4.566,-0.06,0.8170000000000001,0.897
1124,11153121.0,1.0,3626.0,0.684,-0.02,97.41,1.673
1125,11153121.0,0.0,5286.0,4.627,-1.04,0.636,0.626
1126,11177543.0,0.0,5972.0,4.313,0.24,1.237,1.148
1127,11337141.0,0.0,4932.0,4.618,0.0,0.718,0.8079999999999999
1128,6705142.0,0.0,5743.0,4.553,-0.14,0.853,0.9490000000000001
1129,3967760.0,1.0,5237.0,4.572,0.24,0.826,0.927
1130,3967760.0,1.0,6325.0,4.188,0.16,1.518,1.296
1131,4067336.0,0.0,6258.0,4.449,-0.16,1.031,1.087
1132,5387843.0,0.0,5907.0,4.519,-0.3,0.878,0.929
1133,7549209.0,1.0,5955.0,4.534,-0.24,0.883,0.972
1134,7663405.0,1.0,6170.0,4.472,-0.16,0.992,1.063
1135,9765975.0,1.0,6086.0,4.511,-0.26,0.9209999999999999,1.003
1136,9818462.0,1.0,6086.0,4.511,-0.26,0.9209999999999999,1.003
1137,6803202.0,0.0,5778.0,4.4830000000000005,0.14,0.968,1.038
1138,5299459.0,1.0,6093.0,4.4289999999999985,-0.12,1.025,1.025
1139,9651668.0,1.0,5749.0,4.436,-0.56,0.8809999999999999,0.772
1140,5299459.0,0.0,5017.0,4.516,-0.02,0.797,0.76
1141,12506770.0,1.0,5372.0,3.81,0.3,2.344,1.295
1142,5629985.0,0.0,5211.0,4.447,0.08,0.895,0.8170000000000001
1143,9898364.0,0.0,5211.0,4.447,0.08,0.895,0.8170000000000001
1144,11337372.0,1.0,5532.0,4.607,-0.4,0.745,0.833
1145,11337833.0,1.0,6122.0,4.471,-0.1,0.996,1.07
1146,11546211.0,0.0,6050.0,4.137,0.14,1.5719999999999998,1.24
1147,11547505.0,1.0,4502.0,4.572,0.22,0.728,0.722
1148,4471747.0,0.0,4042.0,4.761,-0.62,0.49,0.505
1149,11502867.0,1.0,4042.0,4.761,-0.62,0.49,0.505
1150,9909735.0,1.0,6325.0,4.409,-0.04,1.112,1.157
1151,9909735.0,1.0,6026.0,4.4110000000000005,-0.36,0.992,0.924
1152,11551692.0,1.0,5597.0,3.963,-0.18,1.699,0.9690000000000001
1153,11551692.0,1.0,5597.0,3.963,-0.18,1.699,0.9690000000000001
1154,12266636.0,1.0,5597.0,3.963,-0.18,1.699,0.9690000000000001
1155,9850893.0,0.0,5286.0,4.59,-0.06,0.78,0.872
1156,4826110.0,0.0,5511.0,4.426,0.2,0.987,0.9470000000000001
1157,7869917.0,1.0,5726.0,4.123,0.21,1.483,1.0659999999999998
1158,9824805.0,1.0,5726.0,4.123,0.21,1.483,1.0659999999999998
1159,5193400.0,0.0,5900.0,4.363,-0.12,1.07,0.9640000000000001
1160,7939330.0,0.0,5229.0,4.441,0.08,0.903,0.821
1161,7939330.0,1.0,3871.0,4.744,0.07,0.532,0.573
1162,4918309.0,0.0,5610.0,4.551,0.0,0.858,0.953
1163,12602568.0,1.0,5334.0,4.372,0.16,1.004,0.865
1164,9941066.0,1.0,5334.0,4.372,0.16,1.004,0.865
1165,5972334.0,1.0,6392.0,4.399,0.07,1.162,1.232
1166,4650733.0,0.0,5985.0,4.519,-0.34,0.883,0.94
1167,4830605.0,0.0,5783.0,4.539,-0.08,0.88,0.977
1168,4832197.0,0.0,5157.0,4.445,0.18,0.904,0.83
1169,4844004.0,0.0,5311.0,4.419,0.14,0.948,0.8590000000000001
1170,12120943.0,0.0,5167.0,4.585,0.16,0.7959999999999999,0.8909999999999999
1172,9761199.0,0.0,5511.0,4.426,0.2,0.987,0.9470000000000001
1173,7751571.0,0.0,5561.0,4.4110000000000005,-0.1,0.956,0.8590000000000001
1174,9579499.0,0.0,5671.0,4.36,0.16,1.084,0.983
1175,11913013.0,0.0,4153.0,4.684,-0.22,0.581,0.595
1176,7768451.0,0.0,5788.0,4.506,-0.38,0.856,0.856
1177,7691260.0,1.0,7530.0,4.08,-0.06,1.93,1.633
1178,9821454.0,1.0,5301.0,4.391,0.16,0.977,0.856
1179,9821454.0,1.0,6032.0,4.508,-0.18,0.929,1.014
1180,11954842.0,1.0,3497.0,4.92,-0.2,0.33399999999999996,0.33899999999999997
1181,7972785.0,0.0,5499.0,4.323,0.12,1.087,0.9059999999999999
1182,5470739.0,1.0,6074.0,4.284,0.16,1.2919999999999998,1.173
1183,10022908.0,1.0,5720.0,4.473,-0.22,0.903,0.882
1184,9932970.0,0.0,5729.0,4.5139999999999985,0.21,0.9390000000000001,1.051
1185,5617854.0,1.0,5729.0,4.5139999999999985,0.21,0.9390000000000001,1.051
1186,4932442.0,1.0,4920.0,4.62,0.07,0.72,0.8220000000000001
1187,4932442.0,0.0,4920.0,4.62,0.07,0.72,0.8220000000000001
1188,5183357.0,1.0,5833.0,4.407,-0.04,1.022,0.9740000000000001
1189,5269467.0,1.0,5401.0,4.364,0.3,1.05,0.93
1190,5360920.0,0.0,5199.0,4.527,-0.04,0.8109999999999999,0.807
1191,7838655.0,0.0,6900.0,3.843,0.0,2.5989999999999998,1.714
1192,11702948.0,0.0,6240.0,4.426,-0.02,1.079,1.135
1193,7770450.0,0.0,6218.0,4.417,0.21,1.131,1.219
1194,11455491.0,0.0,5510.0,4.572,-0.16,0.8029999999999999,0.877
1195,11764462.0,1.0,5510.0,4.572,-0.16,0.8029999999999999,0.877
1196,11656246.0,1.0,5393.0,4.132,0.18,1.37,0.9259999999999999
1197,7808587.0,1.0,5840.0,4.553,-0.24,0.8490000000000001,0.9420000000000001
1198,4741126.0,1.0,4166.0,4.66,-0.06,0.612,0.624
1199,5301750.0,1.0,5422.0,4.484,0.02,0.887,0.8740000000000001
1200,5301750.0,1.0,6572.0,4.365,0.07,1.238,1.298
1201,5301750.0,1.0,5926.0,4.532,-0.2,0.887,0.978
1202,5301750.0,1.0,6302.0,4.183,-0.7,1.2690000000000001,0.895
1203,5301750.0,1.0,5435.0,4.578,0.07,0.8240000000000001,0.937
1204,5526717.0,1.0,5977.0,4.473,0.21,1.022,1.133
1205,5972334.0,0.0,6122.0,4.173,0.02,1.439,1.123
1206,5526717.0,0.0,3752.0,4.747,-0.08,0.49700000000000005,0.503
1207,5530882.0,0.0,5367.0,4.59,-0.16,0.773,0.8540000000000001
1208,5531953.0,0.0,4859.0,4.626,-0.02,0.7020000000000001,0.789
1209,6034945.0,1.0,5780.0,4.438,0.0,1.0,1.0
1210,9851226.0,0.0,5401.0,4.487,0.0,0.878,0.863
1211,8692861.0,1.0,5229.0,4.643,-0.42,0.688,0.765
1212,7543649.0,0.0,6296.0,4.46,-0.26,1.006,1.0659999999999998
1213,9480310.0,1.0,6296.0,4.46,-0.26,1.006,1.0659999999999998
1214,11858748.0,0.0,5948.0,4.384,-0.26,1.025,0.93
